State_name,State_code,Year,Population,Sex,Median_household_income,Age_label,Age_group
Alabama,01,2023,67368,0,62212.0,60,46-60
Alabama,01,2021,67338,0,53913.0,61,61-75
Alabama,01,2022,68188,0,59674.0,61,61-75
Alabama,01,2023,68042,0,62212.0,61,61-75
Alabama,01,2021,66237,0,53913.0,62,61-75
Alabama,01,2022,66817,0,59674.0,62,61-75
Alabama,01,2023,67832,0,62212.0,62,61-75
Alabama,01,2021,65654,0,53913.0,63,61-75
Alabama,01,2022,65497,0,59674.0,63,61-75
Alabama,01,2023,66322,0,62212.0,63,61-75
Alabama,01,2021,65218,0,53913.0,64,61-75
Alabama,01,2022,64928,0,59674.0,64,61-75
Alabama,01,2023,64825,0,62212.0,64,61-75
Alabama,01,2021,62538,0,53913.0,65,61-75
Alabama,01,2022,64269,0,59674.0,65,61-75
Alabama,01,2023,64174,0,62212.0,65,61-75
Alabama,01,2021,60828,0,53913.0,66,61-75
Alabama,01,2022,61787,0,59674.0,66,61-75
Alabama,01,2023,63606,0,62212.0,66,61-75
Alabama,01,2022,59973,0,59674.0,67,61-75
Alabama,01,2021,58785,0,53913.0,67,61-75
Alabama,01,2023,61003,0,62212.0,67,61-75
Alabama,01,2021,56087,0,53913.0,68,61-75
Alabama,01,2022,57626,0,59674.0,68,61-75
Alabama,01,2023,59017,0,62212.0,68,61-75
Alabama,01,2021,53886,0,53913.0,69,61-75
Alabama,01,2022,54947,0,59674.0,69,61-75
Alabama,01,2023,56690,0,62212.0,69,61-75
Alabama,01,2021,51338,0,53913.0,70,61-75
Alabama,01,2022,52692,0,59674.0,70,61-75
Alabama,01,2023,54066,0,62212.0,70,61-75
Alabama,01,2021,49089,0,53913.0,71,61-75
Alabama,01,2022,50144,0,59674.0,71,61-75
Alabama,01,2023,51517,0,62212.0,71,61-75
Alabama,01,2021,48278,0,53913.0,72,61-75
Alabama,01,2022,47794,0,59674.0,72,61-75
Alabama,01,2023,48971,0,62212.0,72,61-75
Alabama,01,2021,47068,0,53913.0,73,61-75
Alabama,01,2022,46737,0,59674.0,73,61-75
Alabama,01,2023,46398,0,62212.0,73,61-75
Alabama,01,2021,49619,0,53913.0,74,61-75
Alabama,01,2022,45637,0,59674.0,74,61-75
Alabama,01,2023,45481,0,62212.0,74,61-75
Alabama,01,2021,34342,0,53913.0,75,61-75
Alabama,01,2022,47752,0,59674.0,75,61-75
Alabama,01,2023,44035,0,62212.0,75,61-75
Alabama,01,2021,33093,0,53913.0,76,76-84
Alabama,01,2022,33005,0,59674.0,76,76-84
Alabama,01,2023,46168,0,62212.0,76,76-84
Alabama,01,2021,32130,0,53913.0,77,76-84
Alabama,01,2022,31741,0,59674.0,77,76-84
Alabama,01,2023,31784,0,62212.0,77,76-84
Alabama,01,2021,32374,0,53913.0,78,76-84
Alabama,01,2022,30688,0,59674.0,78,76-84
Alabama,01,2023,30468,0,62212.0,78,76-84
Alabama,01,2021,26938,0,53913.0,79,76-84
Alabama,01,2022,30546,0,59674.0,79,76-84
Alabama,01,2023,29050,0,62212.0,79,76-84
Alabama,01,2021,23866,0,53913.0,80,76-84
Alabama,01,2022,25298,0,59674.0,80,76-84
Alabama,01,2023,28898,0,62212.0,80,76-84
Alabama,01,2021,21974,0,53913.0,81,76-84
Alabama,01,2022,22440,0,59674.0,81,76-84
Alabama,01,2023,23930,0,62212.0,81,76-84
Alabama,01,2021,20172,0,53913.0,82,76-84
Alabama,01,2022,20211,0,59674.0,82,76-84
Alabama,01,2023,20815,0,62212.0,82,76-84
Alabama,01,2021,18562,0,53913.0,83,76-84
Alabama,01,2022,18504,0,59674.0,83,76-84
Alabama,01,2023,18733,0,62212.0,83,76-84
